,0,1
0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,1,0
6,0,1
7,1,0
8,1,0
9,0,1
10,1,0
11,1,0
12,1,0
13,1,0
14,0,1
15,1,0
16,0,1
17,0,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,0,1
24,1,0
25,0,1
26,0,1
27,0,1
28,0,1
29,1,0
30,0,1
31,0,1
32,1,0
33,0,1
34,1,0
35,1,0
36,0,1
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,1,0
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,0,1
65,0,1
66,0,1
67,0,1
68,1,0
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,1
79,1,0
80,0,1
81,0,1
82,0,1
83,0,1
84,0,1
85,0,1
86,0,1
87,0,1
88,0,1
89,0,1
90,1,0
91,0,1
92,1,0
93,0,1
94,0,1
95,0,1
96,0,1
97,0,1
98,0,1
99,0,1
100,0,1
101,0,1
102,0,1
103,1,0
104,0,1
105,0,1
106,0,1
107,0,1
108,1,0
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,1,0
115,0,1
116,0,1
117,0,1
118,0,1
119,1,0
120,0,1
121,0,1
122,0,1
123,0,1
124,0,1
125,0,1
126,0,1
127,0,1
128,0,1
129,0,1
130,0,1
131,0,1
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,1,0
139,0,1
140,1,0
141,1,0
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,1,0
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,1,0
156,0,1
157,0,1
158,0,1
159,1,0
160,1,0
161,0,1
162,1,0
163,1,0
164,0,1
165,0,1
166,0,1
167,0,1
168,0,1
169,1,0
170,0,1
171,1,0
172,0,1
173,0,1
174,0,1
175,0,1
176,0,1
177,1,0
178,0,1
179,1,0
180,1,0
181,0,1
182,0,1
183,0,1
184,1,0
185,1,0
186,1,0
187,1,0
188,0,1
189,1,0
190,1,0
191,0,1
192,0,1
193,0,1
194,0,1
195,0,1
196,1,0
197,0,1
198,0,1
199,1,0
200,0,1
201,0,1
202,1,0
203,0,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,1
209,1,0
210,0,1
211,1,0
212,0,1
213,0,1
214,1,0
215,0,1
216,0,1
217,1,0
218,0,1
219,0,1
220,0,1
221,0,1
222,0,1
223,0,1
224,1,0
225,0,1
226,0,1
227,0,1
228,0,1
229,1,0
230,0,1
231,0,1
232,1,0
233,1,0
234,0,1
235,1,0
236,1,0
237,1,0
238,0,1
239,1,0
240,0,1
241,0,1
242,1,0
243,0,1
244,1,0
245,0,1
246,1,0
247,0,1
248,0,1
249,1,0
250,0,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,1,0
257,1,0
258,0,1
259,0,1
260,1,0
261,1,0
262,1,0
263,1,0
264,0,1
265,1,0
266,1,0
267,1,0
268,0,1
269,1,0
270,0,1
271,1,0
272,0,1
273,0,1
274,1,0
275,1,0
276,1,0
277,1,0
278,0,1
279,1,0
280,1,0
281,0,1
282,1,0
283,0,1
284,0,1
285,0,1
286,1,0
287,1,0
288,1,0
289,0,1
290,0,1
291,1,0
292,1,0
293,0,1
294,0,1
295,0,1
296,0,1
297,1,0
298,0,1
299,0,1
300,1,0
301,0,1
302,1,0
303,0,1
304,1,0
305,0,1
306,1,0
307,0,1
308,0,1
309,1,0
310,0,1
311,1,0
312,1,0
313,0,1
314,0,1
315,1,0
316,0,1
317,0,1
318,0,1
319,0,1
320,1,0
321,0,1
322,0,1
323,0,1
324,1,0
325,0,1
326,1,0
327,1,0
328,0,1
329,1,0
330,0,1
331,1,0
332,1,0
333,1,0
334,1,0
335,1,0
336,1,0
337,0,1
338,0,1
339,0,1
340,1,0
341,0,1
342,0,1
343,0,1
344,0,1
345,1,0
346,0,1
347,1,0
348,1,0
349,0,1
350,0,1
351,0,1
352,0,1
353,0,1
354,0,1
355,1,0
356,1,0
357,0,1
358,1,0
359,0,1
360,1,0
361,0,1
362,0,1
363,1,0
364,1,0
365,0,1
366,1,0
367,1,0
368,0,1
369,0,1
370,0,1
371,1,0
372,0,1
373,0,1
374,0,1
375,1,0
376,1,0
377,0,1
378,0,1
379,1,0
380,0,1
381,0,1
382,0,1
383,0,1
384,1,0
385,0,1
386,0,1
387,0,1
388,0,1
389,0,1
390,0,1
391,1,0
392,1,0
393,0,1
394,0,1
395,1,0
396,1,0
397,1,0
398,0,1
399,0,1
400,1,0
401,1,0
402,1,0
403,1,0
404,0,1
405,1,0
406,1,0
407,0,1
408,0,1
409,0,1
410,0,1
411,0,1
412,0,1
413,0,1
414,0,1
415,1,0
416,0,1
417,0,1
