,label
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,0
283,1
284,1
285,1
286,0
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,0
327,0
328,1
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,0
428,1
429,0
430,0
431,0
432,1
433,0
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,0
449,0
450,0
451,1
452,1
453,0
454,0
455,1
456,0
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,1
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,0
535,1
536,0
537,1
538,1
539,0
540,0
541,1
542,1
543,1
544,1
545,0
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,0
564,1
565,0
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,0
592,0
593,0
594,0
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,0
605,1
606,1
607,1
608,0
609,1
610,1
611,1
612,0
613,0
614,0
615,0
616,0
617,1
618,1
619,0
620,0
621,1
622,0
623,0
624,0
625,1
626,1
627,0
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,1
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,0
659,1
660,0
661,1
662,1
663,1
664,1
665,0
666,0
667,1
668,0
669,1
670,0
671,1
672,1
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,1
681,1
682,0
683,1
684,0
685,0
686,0
687,0
688,1
689,0
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,0
704,1
705,1
706,0
707,1
708,0
709,0
710,1
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,0
728,0
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,1
750,1
751,0
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,1
760,1
761,0
762,1
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,1
771,1
772,0
773,0
774,1
775,1
776,0
777,0
778,1
779,1
780,1
781,0
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,1
811,1
812,0
