,0,1,2
0,0,0,1
1,0,0,1
2,0,0,1
3,0,0,1
4,0,0,1
5,0,1,0
6,1,0,0
7,0,1,0
8,0,1,0
9,1,0,0
10,0,1,0
11,0,1,0
12,0,1,0
13,0,1,0
14,1,0,0
15,0,1,0
16,1,0,0
17,1,0,0
18,0,1,0
19,0,1,0
20,0,1,0
21,0,1,0
22,0,1,0
23,1,0,0
24,0,1,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,0,1,0
30,0,0,1
31,1,0,0
32,0,1,0
33,1,0,0
34,0,1,0
35,0,1,0
36,1,0,0
37,1,0,0
38,0,0,1
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,0,1,0
46,0,0,1
47,0,0,1
48,0,0,1
49,1,0,0
50,0,0,1
51,1,0,0
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,0
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,0,0,1
67,0,0,1
68,0,1,0
69,1,0,0
70,1,0,0
71,0,0,1
72,0,0,1
73,1,0,0
74,0,0,1
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,0,1,0
80,1,0,0
81,1,0,0
82,0,0,1
83,1,0,0
84,0,0,1
85,1,0,0
86,0,0,1
87,0,0,1
88,1,0,0
89,1,0,0
90,0,1,0
91,1,0,0
92,0,1,0
93,0,0,1
94,0,0,1
95,1,0,0
96,0,0,1
97,0,0,1
98,1,0,0
99,1,0,0
100,0,0,1
101,1,0,0
102,1,0,0
103,0,1,0
104,1,0,0
105,0,0,1
106,0,0,1
107,0,0,1
108,0,1,0
109,1,0,0
110,0,0,1
111,0,0,1
112,0,0,1
113,1,0,0
114,0,1,0
115,1,0,0
116,1,0,0
117,0,0,1
118,1,0,0
119,0,1,0
120,0,0,1
121,1,0,0
122,1,0,0
123,0,0,1
124,0,0,1
125,0,0,1
126,1,0,0
127,0,0,1
128,1,0,0
129,0,0,1
130,0,0,1
131,1,0,0
132,1,0,0
133,1,0,0
134,1,0,0
135,1,0,0
136,1,0,0
137,0,0,1
138,0,1,0
139,1,0,0
140,0,1,0
141,0,1,0
142,0,0,1
143,1,0,0
144,1,0,0
145,1,0,0
146,0,0,1
147,0,0,1
148,0,0,1
149,0,1,0
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,1,0,0
155,0,1,0
156,0,0,1
157,0,0,1
158,0,0,1
159,0,1,0
160,0,1,0
161,0,0,1
162,0,1,0
163,0,1,0
164,1,0,0
165,0,0,1
166,1,0,0
167,1,0,0
168,1,0,0
169,0,1,0
170,1,0,0
171,0,1,0
172,0,0,1
173,1,0,0
174,1,0,0
175,1,0,0
176,1,0,0
177,0,1,0
178,1,0,0
179,0,1,0
180,0,1,0
181,1,0,0
182,0,0,1
183,1,0,0
184,0,1,0
185,0,1,0
186,0,1,0
187,0,1,0
188,0,0,1
189,0,1,0
190,0,1,0
191,0,0,1
192,0,0,1
193,1,0,0
194,0,0,1
195,1,0,0
196,0,1,0
197,1,0,0
